,Count,Word
661,1,bus-stop
662,1,music venue
663,1,healing wing
664,1,inner circle
665,1,area four
666,1,daycare center
667,1,swimming pool
668,1,youth center
669,1,senior housing
670,1,franklin st
671,1,public space
672,1,improvement initiative
673,1,bat box
674,1,art on fire
675,1,fire hydrant
676,2,art
677,1,sidewalk sign
678,1,peabody school playground
679,1,website
680,1,suggestion
681,1,rink
682,1,alberico play ground
683,1,bristol st b/
684,1,berkshire
685,1,plumbing
686,1,fiber optic network
687,1,internet reliability
688,1,gym space
689,1,cross walk
690,1,stipend
691,1,intern
692,1,maintenance issue
693,1,universal design playground element
694,1,bump
695,1,havard square central area
696,1,mini-library
697,1,desktop
698,1,public art space
699,1,spray paint
700,1,block
701,1,cambridgeside gallerium
702,1,vassar
703,1,hurley street park
704,1,o'brien/land blvd
705,1,kinetic energy tile
706,1,studio
707,1,mbtum
708,1,commuting spot
709,1,mat
710,1,daycare
711,1,preservation
712,1,18 pound american cannon
713,1,path
714,1,perimeter shrub
715,1,water spigot
716,1,rooftop garden
717,1,greenhouse
718,1,color printer
719,1,vellucci community plaza
720,1,dog bowl
721,1,dog poop bag
722,1,joan lorentz park
723,1,train
724,1,youth center makeover
725,1,business workspace
726,1,cambridge graffiti trail
727,1,town
728,1,throughtout
729,1,one main street
730,1,bike theft
731,1,general use small park
732,1,footbridge
733,1,place
734,1,lighting
735,1,cps school
736,1,transportation van
737,1,baby university program
