,Count,Word
1467,1,water taxi
1468,1,station improvement
1469,1,transparency
1470,1,canopy
1471,1,t exit
1472,2,gp
1473,1,street cleaning vehicle
1474,1,round
1475,1,trackless municipal snow blower
1476,1,sidewalk use
1477,1,sidewalker
1478,1,sidewalks stroller
1479,2,wheelchair
1480,1,bicycling
1481,1,linear path
1482,1,porkchop
1483,1,galileo way
1484,1,bypas
1485,1,pedistrian
1486,3,oxford street
1487,1,lesley
1488,5,acces
1489,1,gilmore bridge
1490,1,pedestrian path
1491,1,traffic light interval
1492,1,ware
1493,1,safer crosswalks along hampshire st
1494,1,crosswalk river street & mas
1495,1,button
1496,2,cardinal medeiro
1497,1,cambridgepark drive relief
1498,2,traffic control
1499,1,rindge ave.
1500,1,blackstone street
1501,1,led street light
1502,1,safer cycling
1503,1,traffic pattern
1504,1,unsafe inman square
